maturity,cure,block,skins,weight
100%,traditional,3,2,25
100%,traditional,3,3,10
100%,traditional,3,4,0
100%,traditional,3,5,0
100%,traditional,4,1,12
100%,traditional,4,2,21
100%,traditional,4,3,17
100%,traditional,4,4,0
100%,traditional,4,5,0
50%,shears,1,1,0
50%,shears,1,2,12
50%,shears,1,3,30
50%,shears,1,4,8
50%,shears,1,5,0
50%,shears,2,1,0
50%,shears,2,2,9
50%,shears,2,3,32
50%,shears,2,4,7
50%,shears,2,5,2
50%,shears,3,1,0
50%,shears,3,2,7
50%,shears,3,3,34
50%,shears,3,4,9
50%,shears,3,5,0
50%,shears,4,1,0
50%,shears,4,2,18
50%,shears,4,3,25
50%,shears,4,4,7
50%,shears,4,5,0
70%,shears,1,1,1
70%,shears,1,2,19
70%,shears,1,3,24
70%,shears,1,4,6
70%,shears,1,5,0
70%,shears,2,1,1
70%,shears,2,2,21
70%,shears,2,3,26
70%,shears,2,4,2
70%,shears,2,5,0
70%,shears,3,1,0
70%,shears,3,2,15
70%,shears,3,3,28
70%,shears,3,4,7
70%,shears,3,5,0
70%,shears,4,1,0
70%,shears,4,2,23
70%,shears,4,3,24
70%,shears,4,4,3
70%,shears,4,5,0
90%,shears,1,1,2
90%,shears,1,2,20
90%,shears,1,3,26
90%,shears,1,4,2
90%,shears,1,5,0
90%,shears,2,1,0
90%,shears,2,2,22
90%,shears,2,3,26
90%,shears,2,4,2
90%,shears,2,5,0
90%,shears,3,1,4
90%,shears,3,2,23
90%,shears,3,3,20
90%,shears,3,4,3
90%,shears,3,5,0
90%,shears,4,1,2
90%,shears,4,2,25
90%,shears,4,3,20
90%,shears,4,4,3
90%,shears,4,5,0
95%,shears,1,1,5
95%,shears,1,2,25
95%,shears,1,3,18
95%,shears,1,4,2
95%,shears,1,5,0
95%,shears,2,1,5
95%,shears,2,2,20
95%,shears,2,3,22
95%,shears,2,4,3
95%,shears,2,5,0
95%,shears,3,1,5
95%,shears,3,2,26
95%,shears,3,3,18
95%,shears,3,4,1
95%,shears,3,5,0
95%,shears,4,1,9
95%,shears,4,2,22
95%,shears,4,3,17
95%,shears,4,4,2
95%,shears,4,5,0
100%,shears,1,1,7
100%,shears,1,2,24
100%,shears,1,3,18
100%,shears,1,4,1
100%,shears,1,5,0
100%,shears,2,1,6
100%,shears,2,2,25
100%,shears,2,3,18
100%,shears,2,4,1
100%,shears,2,5,0
100%,shears,3,1,5
100%,shears,3,2,27
100%,shears,3,3,15
100%,shears,3,4,3
100%,shears,3,5,0
100%,shears,4,1,9
100%,shears,4,2,29
100%,shears,4,3,9
100%,shears,4,4,2
100%,shears,4,5,1
50%,partial,1,1,0
50%,partial,1,2,20
50%,partial,1,3,26
50%,partial,1,4,4
50%,partial,1,5,0
50%,partial,2,1,0
50%,partial,2,2,11
50%,partial,2,3,27
50%,partial,2,4,10
50%,partial,2,5,2
50%,partial,3,1,0
50%,partial,3,2,14
50%,partial,3,3,30
50%,partial,3,4,6
50%,partial,3,5,0
50%,partial,4,1,1
50%,partial,4,2,16
50%,partial,4,3,29
50%,partial,4,4,4
50%,partial,4,5,0
70%,partial,1,1,1
70%,partial,1,2,23
70%,partial,1,3,22
70%,partial,1,4,4
70%,partial,1,5,0
70%,partial,2,1,2
70%,partial,2,2,23
70%,partial,2,3,22
70%,partial,2,4,3
70%,partial,2,5,0
70%,partial,3,1,2
70%,partial,3,2,19
70%,partial,3,3,25
70%,partial,3,4,3
70%,partial,3,5,1
70%,partial,4,1,1
70%,partial,4,2,19
70%,partial,4,3,26
70%,partial,4,4,4
70%,partial,4,5,0
90%,partial,1,1,4
90%,partial,1,2,23
90%,partial,1,3,20
90%,partial,1,4,3
90%,partial,1,5,0
90%,partial,2,1,1
90%,partial,2,2,25
90%,partial,2,3,21
90%,partial,2,4,3
90%,partial,2,5,0
90%,partial,3,1,5
90%,partial,3,2,22
90%,partial,3,3,21
90%,partial,3,4,2
90%,partial,3,5,0
90%,partial,4,1,4
90%,partial,4,2,22
90%,partial,4,3,20
90%,partial,4,4,4
90%,partial,4,5,0
95%,partial,1,1,4
95%,partial,1,2,22
95%,partial,1,3,22
95%,partial,1,4,2
95%,partial,1,5,0
95%,partial,2,1,5
95%,partial,2,2,27
95%,partial,2,3,12
95%,partial,2,4,5
95%,partial,2,5,1
95%,partial,3,1,5
95%,partial,3,2,22
95%,partial,3,3,21
95%,partial,3,4,2
95%,partial,3,5,0
95%,partial,4,1,3
95%,partial,4,2,31
95%,partial,4,3,15
95%,partial,4,4,1
95%,partial,4,5,0
100%,partial,1,1,8
100%,partial,1,2,30
100%,partial,1,3,12
100%,partial,1,4,0
100%,partial,1,5,0
100%,partial,2,1,8
100%,partial,2,2,28
100%,partial,2,3,13
100%,partial,2,4,1
100%,partial,2,5,0
100%,partial,3,1,10
100%,partial,3,2,27
100%,partial,3,3,13
100%,partial,3,4,0
100%,partial,3,5,0
100%,partial,4,1,9
100%,partial,4,2,29
100%,partial,4,3,9
100%,partial,4,4,3
100%,partial,4,5,0
